N,P,K,ph,temperature,humidity,rainfall,soil,label
49.31,16.31,50.24,7.11,27.97,75.37,151.93,alluvial,banana
74.8,11.85,55.92,7.55,30.78,80.17,145.02,silty clay,banana
47.15,20.94,40.48,6.94,28.21,72.73,149.7,alluvial,banana
60.38,26.25,42.75,6.86,30.11,75.24,143.89,silty clay,banana
62.32,20.16,47.03,6.9,28.09,72.79,132.53,clay loam,banana
71.59,9.21,64.0,6.89,26.08,80.55,151.47,silty clay,banana
40.03,14.58,57.91,7.39,28.81,81.82,142.13,clay loam,banana
68.8,26.34,44.25,6.85,26.41,71.57,125.01,alluvial,banana
64.84,10.41,32.51,7.12,26.37,82.63,120.96,clay loam,banana
59.46,9.57,38.57,7.29,27.26,80.33,163.19,silty clay,banana
50.79,16.39,41.63,7.38,30.41,69.67,144.03,silty clay,banana
71.34,12.44,52.09,7.68,26.99,68.71,135.51,silty clay,banana
60.3,10.21,44.51,7.1,24.91,81.06,141.23,silty clay,banana
70.71,18.91,50.07,7.16,25.47,77.07,100.5,alluvial,banana
68.08,23.88,38.26,6.83,26.94,74.77,139.37,alluvial,banana
37.14,5.1,35.1,7.08,27.67,80.94,100.79,clay loam,banana
57.5,12.05,37.72,7.09,28.72,79.93,116.81,alluvial,banana
50.05,14.07,49.32,7.26,28.11,75.82,145.47,clay loam,banana
58.9,15.71,47.18,6.8,29.26,79.42,97.07,alluvial,banana
60.58,11.04,33.92,7.25,29.46,83.09,122.82,silty clay,banana
49.78,18.23,46.42,6.88,28.81,69.0,128.9,silty clay,banana
70.66,24.99,47.86,7.37,28.44,78.83,81.78,alluvial,banana
59.11,25.41,42.32,7.42,28.04,74.36,107.72,clay loam,banana
73.94,19.98,34.41,6.89,29.07,76.58,104.68,clay loam,banana
66.57,22.52,60.96,7.03,28.07,69.31,116.73,alluvial,banana
58.44,18.49,35.39,7.22,27.92,75.66,110.5,silty clay,banana
70.09,11.23,56.08,7.46,28.68,76.3,86.74,silty clay,banana
75.13,14.39,52.08,6.87,27.29,66.12,132.39,alluvial,banana
67.31,22.3,36.2,6.75,26.61,70.36,102.88,silty clay,banana
55.72,17.6,37.74,7.26,30.09,76.49,163.85,alluvial,banana
70.22,21.97,47.73,7.09,26.9,79.97,128.14,alluvial,banana
66.28,15.42,52.41,7.07,26.3,75.61,146.65,clay loam,banana
68.68,13.9,26.36,6.99,28.28,81.9,109.1,clay loam,banana
75.18,19.29,50.49,7.49,27.12,69.46,146.94,clay loam,banana
47.05,15.32,50.75,7.15,27.46,79.25,113.66,clay loam,banana
76.44,22.69,33.24,7.38,28.63,65.29,120.95,clay loam,banana
55.58,13.56,50.82,6.58,30.38,78.99,101.63,alluvial,banana
60.65,14.91,60.74,7.18,28.71,69.98,120.65,clay loam,banana
73.11,14.41,54.41,6.84,28.29,81.68,110.93,clay loam,banana
51.77,18.51,48.27,7.19,27.57,75.81,136.16,alluvial,banana
50.46,14.85,63.47,7.72,31.54,72.89,153.99,alluvial,banana
59.3,12.67,63.57,7.13,27.83,71.1,123.64,alluvial,banana
69.31,23.26,46.22,7.55,29.84,76.98,134.77,alluvial,banana
71.05,16.44,48.55,7.5,28.49,82.35,169.33,silty clay,banana
61.07,15.91,52.74,7.56,26.68,73.61,139.9,alluvial,banana
67.72,13.55,47.6,7.47,28.88,80.06,125.21,silty clay,banana
63.49,13.72,67.53,7.59,28.88,71.91,147.88,silty clay,banana
65.06,11.61,57.26,7.39,29.13,76.74,132.02,alluvial,banana
64.78,6.42,57.12,6.67,29.37,81.16,108.66,clay loam,banana
57.86,16.1,51.29,7.84,29.82,71.95,110.39,clay loam,banana
56.75,13.69,37.08,6.87,28.13,74.84,139.77,alluvial,banana
52.66,13.9,43.47,6.72,27.83,81.65,115.7,alluvial,banana
32.23,7.79,56.96,6.72,23.25,67.04,137.94,alluvial,banana
62.99,7.18,35.3,7.08,26.28,74.11,112.42,silty clay,banana
65.37,17.59,41.61,7.43,29.16,70.94,135.05,clay loam,banana
71.69,11.75,58.78,7.26,28.6,70.35,139.8,clay loam,banana
71.77,19.9,62.81,6.65,27.28,73.13,129.54,alluvial,banana
67.59,7.47,50.79,6.67,26.65,72.76,132.97,silty clay,banana
80.24,8.93,46.22,7.24,26.0,75.43,116.47,alluvial,banana
51.13,13.0,58.46,7.34,30.58,78.81,133.62,silty clay,banana
46.45,11.95,53.62,7.03,26.1,69.57,133.09,alluvial,banana
68.19,14.08,42.97,7.54,27.5,84.02,155.76,silty clay,banana
58.87,18.64,40.18,7.11,29.71,78.12,100.78,clay loam,banana
64.92,17.94,51.01,7.44,29.56,75.27,89.58,clay loam,banana
45.98,15.58,26.09,6.66,31.29,75.93,109.35,clay loam,banana
62.1,17.92,41.0,7.37,27.16,73.62,99.05,alluvial,banana
63.65,16.56,77.76,8.11,28.4,79.18,60.51,new alluvial,banana
49.24,10.36,40.75,6.94,29.22,81.53,143.38,clay loam,banana
52.75,10.58,28.18,6.24,27.22,74.96,126.69,clay loam,banana
68.81,8.85,55.17,7.39,29.89,74.9,107.53,clay loam,banana
40.97,16.75,48.23,7.13,30.2,82.73,164.45,alluvial,banana
62.89,14.11,49.61,6.88,26.55,76.42,128.3,clay loam,banana
65.69,25.19,64.31,6.92,28.86,68.08,142.16,silty clay,banana
68.17,8.95,58.9,6.55,23.19,66.97,131.73,silty clay,banana
67.0,20.94,32.56,7.54,28.11,70.86,132.92,clay loam,banana
57.46,4.33,41.1,6.62,26.06,81.27,110.16,silty clay,banana
73.44,20.16,26.98,6.86,30.24,73.36,116.97,alluvial,banana
53.89,10.29,46.28,7.03,28.48,86.97,149.26,alluvial,banana
52.15,15.74,43.25,7.72,29.23,81.35,149.1,alluvial,banana
58.5,23.22,46.65,6.85,30.28,78.7,103.03,silty clay,banana
63.3,22.05,-0.4,7.6,32.86,64.65,175.71,peat,banana
60.46,17.43,52.1,7.13,28.27,68.53,124.57,silty clay,banana
54.4,17.77,38.26,7.27,31.37,73.45,141.48,clay loam,banana
67.65,19.81,34.15,7.24,25.22,76.01,94.28,clay loam,banana
58.14,20.59,26.16,7.09,30.84,78.61,145.28,alluvial,banana
54.61,12.74,47.32,6.77,29.11,79.46,136.36,alluvial,banana
63.25,18.51,55.33,6.91,30.21,73.57,120.62,alluvial,banana
66.02,14.39,64.88,7.2,27.5,72.87,135.97,clay loam,banana
51.34,10.46,61.31,6.86,30.63,80.86,152.89,silty clay,banana
68.36,19.37,63.45,6.98,26.6,73.13,114.56,alluvial,banana
59.58,10.83,39.37,7.11,28.18,74.0,131.1,silty clay,banana
54.19,16.9,28.99,7.22,30.61,81.81,109.79,silty clay,banana
71.24,10.98,35.19,7.54,29.68,68.2,122.6,silty clay,banana
55.92,13.81,51.15,7.29,29.97,83.38,131.97,clay loam,banana
60.75,9.43,44.05,7.54,26.93,74.57,134.51,silty clay,banana
68.01,17.39,67.92,7.09,29.05,74.75,126.65,alluvial,banana
60.27,13.01,36.51,7.15,29.1,81.93,132.81,silty clay,banana
63.0,16.0,54.3,7.13,28.33,78.26,140.34,silty clay,banana
49.95,20.0,57.19,7.4,29.43,68.45,159.85,clay loam,banana
71.48,16.42,38.22,7.2,30.1,70.98,135.67,alluvial,banana
56.23,13.23,52.62,6.8,28.52,75.21,147.1,silty clay,banana
80.08,3.0,34.91,7.14,26.72,82.8,129.31,sandy loam,banana
51.08,22.16,38.9,6.87,30.2,78.84,112.09,alluvial,banana
77.38,16.81,42.54,6.92,26.16,66.39,122.75,alluvial,banana
70.13,22.97,49.55,7.22,27.4,74.36,128.78,clay loam,banana
60.71,14.4,28.29,7.05,31.97,72.88,136.88,silty clay,banana
61.97,20.69,49.64,7.04,27.97,68.55,170.74,clay loam,banana
72.3,11.75,43.0,6.8,28.17,77.61,104.89,clay loam,banana
58.96,15.44,50.36,7.71,26.78,82.66,127.58,alluvial,banana
62.02,10.85,38.13,7.16,28.38,73.12,96.01,alluvial,banana
66.21,22.55,50.9,7.26,27.11,72.64,104.97,alluvial,banana
65.95,18.27,51.7,7.49,25.85,71.31,154.37,alluvial,banana
63.74,17.43,32.04,7.58,28.23,71.14,129.83,alluvial,banana
56.25,6.96,43.34,7.25,28.69,76.08,118.89,clay loam,banana
66.9,15.86,64.67,7.31,29.38,67.18,142.37,alluvial,banana
39.24,16.06,38.81,7.54,29.27,71.51,153.73,silty clay,banana
49.15,14.52,34.45,6.84,30.23,78.31,94.8,alluvial,banana
78.24,2.43,26.35,6.87,27.55,81.24,129.82,alluvial,banana
52.23,4.27,46.62,7.07,26.57,70.22,94.42,clay loam,banana
72.89,14.09,64.26,6.83,28.76,72.37,129.3,alluvial,banana
52.48,23.15,44.13,7.08,30.42,79.66,68.37,silty clay,banana
52.91,29.37,50.81,6.97,28.22,72.44,136.86,alluvial,banana
55.89,14.85,59.13,6.57,30.45,68.76,130.97,alluvial,banana
76.36,8.17,50.63,7.35,27.82,67.83,121.59,alluvial,banana
43.99,13.98,60.33,6.8,29.15,80.91,146.33,alluvial,banana
53.6,12.41,25.27,7.14,28.57,83.54,126.79,clay loam,banana
70.66,22.85,40.36,7.32,29.27,76.95,95.86,clay loam,banana
31.19,23.5,39.33,6.99,29.84,79.37,110.34,silty clay,banana
54.28,16.09,27.97,7.09,27.56,75.34,143.89,clay loam,banana
59.84,12.99,43.39,6.99,26.7,79.29,127.35,alluvial,banana
41.05,14.57,29.25,6.97,29.92,68.17,153.03,alluvial,banana
